"success","rt","trial_type","trial_index","plugin_version","time_elapsed","random_id","participant","stimulus","response","timeout","failed_images","failed_audio","failed_video","category","letter","correct_response","correct_response_key","trial_counter","current_image","test_triplet","foil_triplet","correct","firstSequencePaths","secondSequencePaths"
"","null","image-keyboard-response","499","2.0.0","512662","pbtb0o7fkvk","camel","stimuli/woods_42.jpg","null","","","","","","","","","","","","","","",""
"","null","image-keyboard-response","500","2.0.0","513663","pbtb0o7fkvk","camel","stimuli/bar_10.jpg","null","","","","","","","","","","","","","","",""
"","null","image-keyboard-response","501","2.0.0","514676","pbtb0o7fkvk","camel","stimuli/bathroom_63.jpg","null","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","502","2.0.0","515691","pbtb0o7fkvk","camel","<p></p>","null","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","503","2.0.0","516706","pbtb0o7fkvk","camel","<p>Sequence 2</p>","null","","","","","","","","","","","","","","",""
"","null","image-keyboard-response","504","2.0.0","517708","pbtb0o7fkvk","camel","stimuli/gym_24.jpg","null","","","","","","","","","","","","","","",""
"","null","image-keyboard-response","505","2.0.0","518713","pbtb0o7fkvk","camel","stimuli/bar_10.jpg","null","","","","","","","","","","","","","","",""
"","null","image-keyboard-response","506","2.0.0","519729","pbtb0o7fkvk","camel","stimuli/stream_45.jpg","null","","","","","","","","","","","","","","",""
"","268","html-keyboard-response","507","2.0.0","519997","pbtb0o7fkvk","camel","<p>Press '1' if the first sequence was familiar, '2' if the second was.</p>","1","","","","","","","1","","","","[""A"",""B"",""C""]","[""J"",""B"",""F""]","true","[""<p>Sequence 1</p>"",""stimuli/woods_42.jpg"",""stimuli/bar_10.jpg"",""stimuli/bathroom_63.jpg""]","[""<p>Sequence 2</p>"",""stimuli/gym_24.jpg"",""stimuli/bar_10.jpg"",""stimuli/stream_45.jpg""]"
"","null","html-keyboard-response","508","2.0.0","521004","pbtb0o7fkvk","camel","<p>Sequence 1</p>","null","","","","","","","","","","","","","","",""
"","null","image-keyboard-response","509","2.0.0","522036","pbtb0o7fkvk","camel","stimuli/woods_42.jpg","null","","","","","","","","","","","","","","",""
"","null","image-keyboard-response","510","2.0.0","523049","pbtb0o7fkvk","camel","stimuli/street_56.jpg","null","","","","","","","","","","","","","","",""
"","null","image-keyboard-response","511","2.0.0","524065","pbtb0o7fkvk","camel","stimuli/playground_23.jpg","null","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","512","2.0.0","525075","pbtb0o7fkvk","camel","<p></p>","null","","","","","","","","","","","","","","",""
"","null","html-keyboard-response","513","2.0.0","526088","pbtb0o7fkvk","camel","<p>Sequence 2</p>","null","","","","","","","","","","","","","","",""
"","null","image-keyboard-response","514","2.0.0","527101","pbtb0o7fkvk","camel","stimuli/kitchen_29.jpg","null","","","","","","","","","","","","","","",""
"","null","image-keyboard-response","515","2.0.0","528116","pbtb0o7fkvk","camel","stimuli/street_56.jpg","null","","","","","","","","","","","","","","",""
"","null","image-keyboard-response","516","2.0.0","529129","pbtb0o7fkvk","camel","stimuli/stream_45.jpg","null","","","","","","","","","","","","","","",""
"","767","html-keyboard-response","517","2.0.0","529898","pbtb0o7fkvk","camel","<p>Press '1' if the first sequence was familiar, '2' if the second was.</p>","2","","","","","","","2","","","","[""D"",""E"",""F""]","[""A"",""E"",""I""]","true","[""<p>Sequence 1</p>"",""stimuli/woods_42.jpg"",""stimuli/street_56.jpg"",""stimuli/playground_23.jpg""]","[""<p>Sequence 2</p>"",""stimuli/kitchen_29.jpg"",""stimuli/street_56.jpg"",""stimuli/stream_45.jpg""]"
"","null","html-keyboard-response","518","2.0.0","530909","pbtb0o7fkvk","camel","<p>Sequence 1</p>","null","","","","","","","","","","","","","","",""
